model,recall_mean,precision_mean,f1_mean,roc_auc_mean
LogisticRegression,0.7105263157894737,0.4023115871178865,0.5113545637663346,0.8256844426093691
XGBoost,0.37894736842105264,0.7320238095238096,0.49743827501316984,0.813066950563611
RandomForest,0.3157894736842105,0.8016011042097999,0.44524150751026514,0.8228466200881377
